Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %,Kandidát
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518824,Stook,13,Bohumila,Tauchmannová,  4,0.83,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518824,Stook,14,Juraj,Zábojník,  1,0.20,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518824,Stook,15,Ivan,Zuzula,  2,0.41,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518921,Víg¾aš,1,Béla,Bugár,  11,1.50,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518921,Víg¾aš,2,Zuzana,Èaputová,  248,34.01,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518921,Víg¾aš,3,Martin,Daòo,  1,0.13,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518921,Víg¾aš,4,Štefan,Harabin,  109,14.95,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518921,Víg¾aš,5,Eduard,Chmelár,  29,3.97,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518921,Víg¾aš,6,Marian,Kotleba,  97,13.30,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518921,Víg¾aš,7,Milan,Krajniak,  36,4.93,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518921,Víg¾aš,8,József,Menyhárt,  1,0.13,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518921,Víg¾aš,9,František,Mikloško,  21,2.88,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518921,Víg¾aš,10,Robert,Mistrík,  0,0.00,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518921,Víg¾aš,11,Maroš,Šefèoviè,  167,22.90,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518921,Víg¾aš,12,Róbert,Švec,  5,0.68,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518921,Víg¾aš,13,Bohumila,Tauchmannová,  3,0.41,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518921,Víg¾aš,14,Juraj,Zábojník,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518921,Víg¾aš,15,Ivan,Zuzula,  1,0.13,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518930,Víg¾ašská Huta - Kalinka,1,Béla,Bugár,  4,2.39,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518930,Víg¾ašská Huta - Kalinka,2,Zuzana,Èaputová,  50,29.94,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518930,Víg¾ašská Huta - Kalinka,3,Martin,Daòo,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518930,Víg¾ašská Huta - Kalinka,4,Štefan,Harabin,  30,17.96,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518930,Víg¾ašská Huta - Kalinka,5,Eduard,Chmelár,  4,2.39,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518930,Víg¾ašská Huta - Kalinka,6,Marian,Kotleba,  25,14.97,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518930,Víg¾ašská Huta - Kalinka,7,Milan,Krajniak,  8,4.79,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518930,Víg¾ašská Huta - Kalinka,8,József,Menyhárt,  0,0.00,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518930,Víg¾ašská Huta - Kalinka,9,František,Mikloško,  6,3.59,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518930,Víg¾ašská Huta - Kalinka,10,Robert,Mistrík,  0,0.00,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518930,Víg¾ašská Huta - Kalinka,11,Maroš,Šefèoviè,  39,23.35,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518930,Víg¾ašská Huta - Kalinka,12,Róbert,Švec,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518930,Víg¾ašská Huta - Kalinka,13,Bohumila,Tauchmannová,  1,0.59,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518930,Víg¾ašská Huta - Kalinka,14,Juraj,Zábojník,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518930,Víg¾ašská Huta - Kalinka,15,Ivan,Zuzula,  0,0.00,
