Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %,"Poèet platnıch hlasov v mestách a mestskıch èastiach","Podiel platnıch hlasov v mestách a mestskıch èastiach v %","Poèet platnıch hlasov v obciach","Podiel platnıch hlasov v obciach v %"
7,Prešovskı kraj,708,Svidník,712,Svidník,1,Zuzana,Èaputová, 3 200,33.65, 1 508,36.48, 1 692,31.47
7,Prešovskı kraj,708,Svidník,712,Svidník,2,Maroš,Šefèoviè, 6 309,66.34, 2 625,63.51, 3 684,68.52
7,Prešovskı kraj,709,Vranov nad Top¾ou,713,Vranov nad Top¾ou,1,Zuzana,Èaputová, 6 589,33.43, 2 725,39.78, 3 864,30.05
7,Prešovskı kraj,709,Vranov nad Top¾ou,713,Vranov nad Top¾ou,2,Maroš,Šefèoviè, 13 118,66.56, 4 124,60.21, 8 994,69.94
8,Košickı kraj,801,Košice,802,Košice I,1,Zuzana,Èaputová, 16 980,71.01, 16 980,71.01,  0,0.00
8,Košickı kraj,801,Košice,802,Košice I,2,Maroš,Šefèoviè, 6 932,28.98, 6 932,28.98,  0,0.00
8,Košickı kraj,801,Košice,803,Košice II,1,Zuzana,Èaputová, 17 501,67.33, 17 501,67.33,  0,0.00
8,Košickı kraj,801,Košice,803,Košice II,2,Maroš,Šefèoviè, 8 491,32.66, 8 491,32.66,  0,0.00
8,Košickı kraj,801,Košice,804,Košice III,1,Zuzana,Èaputová, 6 099,64.28, 6 099,64.28,  0,0.00
8,Košickı kraj,801,Košice,804,Košice III,2,Maroš,Šefèoviè, 3 388,35.71, 3 388,35.71,  0,0.00
8,Košickı kraj,801,Košice,805,Košice IV,1,Zuzana,Èaputová, 13 453,65.63, 13 453,65.63,  0,0.00
8,Košickı kraj,801,Košice,805,Košice IV,2,Maroš,Šefèoviè, 7 044,34.36, 7 044,34.36,  0,0.00
8,Košickı kraj,802,Košice - okolie,806,Košice - okolie,1,Zuzana,Èaputová, 20 396,61.93, 2 020,67.42, 18 376,61.39
8,Košickı kraj,802,Košice - okolie,806,Košice - okolie,2,Maroš,Šefèoviè, 12 533,38.06,  976,32.57, 11 557,38.60
8,Košickı kraj,803,Michalovce,807,Michalovce,1,Zuzana,Èaputová, 11 899,44.62, 6 705,49.05, 5 194,39.95
8,Košickı kraj,803,Michalovce,807,Michalovce,2,Maroš,Šefèoviè, 14 768,55.37, 6 963,50.94, 7 805,60.04
8,Košickı kraj,803,Michalovce,809,Sobrance,1,Zuzana,Èaputová, 2 069,32.70,  602,38.61, 1 467,30.76
8,Košickı kraj,803,Michalovce,809,Sobrance,2,Maroš,Šefèoviè, 4 258,67.29,  957,61.38, 3 301,69.23
8,Košickı kraj,804,Roòava,808,Roòava,1,Zuzana,Èaputová, 9 370,64.65, 3 926,69.33, 5 444,61.64
8,Košickı kraj,804,Roòava,808,Roòava,2,Maroš,Šefèoviè, 5 123,35.34, 1 736,30.66, 3 387,38.35
8,Košickı kraj,805,Spišská Nová Ves,801,Gelnica,1,Zuzana,Èaputová, 3 214,44.79,  754,45.61, 2 460,44.54
8,Košickı kraj,805,Spišská Nová Ves,801,Gelnica,2,Maroš,Šefèoviè, 3 961,55.20,  899,54.38, 3 062,55.45
8,Košickı kraj,805,Spišská Nová Ves,810,Spišská Nová Ves,1,Zuzana,Èaputová, 13 680,53.90, 8 156,54.60, 5 524,52.91
8,Košickı kraj,805,Spišská Nová Ves,810,Spišská Nová Ves,2,Maroš,Šefèoviè, 11 696,46.09, 6 781,45.39, 4 915,47.08
8,Košickı kraj,806,Trebišov,811,Trebišov,1,Zuzana,Èaputová, 10 945,49.45, 4 735,52.41, 6 210,47.42
8,Košickı kraj,806,Trebišov,811,Trebišov,2,Maroš,Šefèoviè, 11 184,50.54, 4 299,47.58, 6 885,52.57
