Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poèet okrskov ,Poèet zapísanıch volièov,Poèet vydanıch obálok,"Úèas volièov v %",Poèet odovzdanıch obálok,Podiel odovzdanıch obálok v %,Poèet platnıch hlasov všetkıch kandidátov, Podiel platnıch hlasov všetkıch kandidátov v %
4,Nitriansky kraj,402,Levice,402,Levice,502251,Hontianska Vrbica,1,  493,  131,26.57,  131,100.00,  128,97.70
4,Nitriansky kraj,402,Levice,402,Levice,545350,Hontianske Trsany,1,  253,  121,47.82,  121,100.00,  115,95.04
4,Nitriansky kraj,402,Levice,402,Levice,502260,Horná Seè,1,  460,  265,57.60,  265,100.00,  258,97.35
4,Nitriansky kraj,402,Levice,402,Levice,502278,Horné Semerovce,1,  500,  163,32.60,  163,100.00,  160,98.15
4,Nitriansky kraj,402,Levice,402,Levice,502286,Horné Turovce,1,  473,  151,31.92,  151,100.00,  148,98.01
4,Nitriansky kraj,402,Levice,402,Levice,502294,Hornı Pial,1,  230,  77,33.47,  77,100.00,  77,100.00
4,Nitriansky kraj,402,Levice,402,Levice,581895,Hrkovce,1,  255,  88,34.50,  88,100.00,  87,98.86
4,Nitriansky kraj,402,Levice,402,Levice,502324,Hronovce,3, 1 200,  326,27.16,  326,100.00,  324,99.38
4,Nitriansky kraj,402,Levice,402,Levice,502332,Hronské K¾aèany,1, 1 177,  611,51.91,  611,100.00,  596,97.54
4,Nitriansky kraj,402,Levice,402,Levice,502341,Hronské Kosihy,1,  573,  242,42.23,  242,100.00,  238,98.34
4,Nitriansky kraj,402,Levice,402,Levice,502359,Iòa,1,  196,  94,47.95,  94,100.00,  90,95.74
4,Nitriansky kraj,402,Levice,402,Levice,502367,Ipe¾ské Ú¾any,1,  240,  68,28.33,  68,100.00,  68,100.00
4,Nitriansky kraj,402,Levice,402,Levice,502375,Ipe¾skı Sokolec,1,  684,  147,21.49,  147,100.00,  145,98.63
4,Nitriansky kraj,402,Levice,402,Levice,502383,Jabloòovce,1,  192,  82,42.70,  82,100.00,  81,98.78
4,Nitriansky kraj,402,Levice,402,Levice,556777,Jesenské,1,  38,  20,52.63,  20,100.00,  19,95.00
4,Nitriansky kraj,402,Levice,402,Levice,502391,Jur nad Hronom,1,  808,  330,40.84,  330,100.00,  320,96.96
4,Nitriansky kraj,402,Levice,402,Levice,502413,Kalná nad Hronom,1, 1 721,  634,36.83,  633,99.84,  621,98.10
4,Nitriansky kraj,402,Levice,402,Levice,502472,Ke,1,  495,  134,27.07,  134,100.00,  130,97.01
4,Nitriansky kraj,402,Levice,402,Levice,502421,Kozárovce,2, 1 620,  790,48.76,  790,100.00,  774,97.97
4,Nitriansky kraj,402,Levice,402,Levice,502430,Krškany,1,  646,  273,42.26,  273,100.00,  262,95.97
4,Nitriansky kraj,402,Levice,402,Levice,502448,Kubáòovo,1,  234,  67,28.63,  67,100.00,  64,95.52
